pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.668467687074873 ms
accuracy (in pixels): LX=677.6758212836836, LY=390.71297001880674, RX=671.665541617656, RY=392.4464292501958
precision (RMS noise in pixels): X=12.827099545829553, Y=10.807085798136141
distance between participant and display: 57.0 cm
fixation threshold: 72.1350984010696 pixels
speed threshold: 1.6827679496329635 pixels/ms
accuracy threshold: 460.9834158742855 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
285.165		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
295.696		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
296.339		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
507.025		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
507.223		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
603.858		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
604.5		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
608.716		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
609.405		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
612.665		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
613.269		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
619.684		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
624.362		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
624.994		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
636.715		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
637.367		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
646.738		980.0	453.0	1	964.0	469.0	1	972	461	2.9354	1	3.4042	1
655.927		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
656.575		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
657.168		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
657.77		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
664.402		988.0	492.0	1	-1	-1	0	988.0	492.0	2.996	1	-1	0
675.088		943.0	474.0	1	939.0	496.0	1	941	485	2.9117	1	3.2475	1
682.277		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
682.979		970.0	537.0	1	968.0	486.0	1	969	511	3.1	1	3.1838	1
701.018		1060.0	345.0	1	1100.0	368.0	1	1080	356	3.028	1	3.2146	1
717.573		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
718.268		1284.0	112.0	1	1345.0	152.0	1	1314	132	2.9437	1	3.0343	1
734.039		1518.0	-132.0	1	-1	-1	0	1518.0	-132.0	2.8741	1	-1	0
752.973		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
753.647		1851.0	-401.0	1	-1	-1	0	1851.0	-401.0	3.0175	1	-1	0
769.675		2398.0	-884.0	1	-1	-1	0	2398.0	-884.0	3.0372	1	-1	0
789.66		2631.0	-877.0	1	-1	-1	0	2631.0	-877.0	2.9638	1	-1	0
802.324		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
823.628		2275.0	-571.0	1	-1	-1	0	2275.0	-571.0	2.9341	1	-1	0
834.222		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
854.174		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
868.108		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
887.167		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
901.204		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
919.359		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
936.386		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
959.245		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
970.714		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
986.536		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1003.782		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1021.768		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1037.222	START; time=3484482
1041.44		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1057.735		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1075.472		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1097.1		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1113.828		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1130.005		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1153.712		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1169.009		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1183.522		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1200.693		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1218.407		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1241.376		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1258.76		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1282.621		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.709		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1311.845		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1330.257		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1353.774		983.0	485.0	1	934.0	498.0	1	958	491	2.8569	1	3.0576	1
1369.549		1028.0	498.0	1	943.0	506.0	1	986	502	2.9595	1	3.1463	1
1388.546		1010.0	483.0	1	930.0	492.0	1	970	487	2.9282	1	3.0666	1
1407.754		1003.0	489.0	1	949.0	520.0	1	976	504	2.9749	1	3.184	1
1424.854		1042.0	513.0	1	951.0	495.0	1	996	504	3.0611	1	3.141	1
1445.269		1003.0	500.0	1	957.0	504.0	1	980	502	2.9697	1	3.14	1
1459.169		-1	-1	0	966.0	505.0	1	966.0	505.0	-1	0	3.2206	1
1478.623		1026.0	498.0	1	979.0	513.0	1	1002	505	3.0594	1	3.2789	1
1504.246		1028.0	506.0	1	993.0	505.0	1	1010	505	3.1004	1	3.2283	1
1510.747		1022.0	486.0	1	988.0	507.0	1	1005	496	3.0726	1	3.2749	1
1525.702		1019.0	507.0	1	990.0	531.0	1	1004	519	3.1553	1	3.3829	1
1542.57		1033.0	484.0	1	997.0	517.0	1	1015	500	3.0861	1	3.3214	1
1560.191		1032.0	516.0	1	981.0	541.0	1	1006	528	3.2261	1	3.459	1
1578.35		1031.0	490.0	1	998.0	538.0	1	1014	514	3.1474	1	3.4009	1
1593.122		1028.0	483.0	1	988.0	538.0	1	1008	510	3.0744	1	3.4415	1
1609.4		1034.0	499.0	1	979.0	543.0	1	1006	521	3.1527	1	3.4967	1
1626.387		1028.0	503.0	1	980.0	547.0	1	1004	525	3.224	1	3.5102	1
1643.089		1017.0	499.0	1	978.0	522.0	1	998	510	3.1843	1	3.4682	1
1662.61		958.0	481.0	1	919.0	509.0	1	938	495	3.1466	1	3.4796	1
1676.593		-1	-1	0	752.0	482.0	1	752.0	482.0	-1	0	3.438	1
1692.552		626.0	480.0	1	611.0	460.0	1	618	470	3.1141	1	3.4075	1
1707.458		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1727.567		-1	-1	0	597.0	470.0	1	597.0	470.0	-1	0	3.4823	1
1740.273		-1	-1	0	607.0	474.0	1	607.0	474.0	-1	0	3.4922	1
1758.713		637.0	486.0	1	604.0	484.0	1	620	485	3.1133	1	3.4562	1
1775.041		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1792.542		660.0	534.0	1	607.0	469.0	1	634	501	3.1691	1	3.317	1
1809.8		640.0	496.0	1	609.0	483.0	1	624	489	3.0802	1	3.3529	1
1828.732		644.0	512.0	1	594.0	479.0	1	619	495	3.0517	1	3.3261	1
1846.026		637.0	490.0	1	601.0	471.0	1	619	480	2.9868	1	3.2521	1
1859.931		652.0	530.0	1	594.0	476.0	1	623	503	3.0159	1	3.1877	1
1876.737		560.0	521.0	1	544.0	467.0	1	552	494	2.9774	1	3.2331	1
1893.15		465.0	486.0	1	442.0	456.0	1	454	471	2.9017	1	3.1933	1
1908.884		455.0	480.0	1	431.0	447.0	1	443	463	2.8754	1	3.1491	1
1927.078		443.0	484.0	1	425.0	454.0	1	434	469	2.8566	1	3.1873	1
1943.048		436.0	471.0	1	431.0	454.0	1	434	462	2.8505	1	3.1487	1
1960.174		447.0	491.0	1	430.0	464.0	1	438	477	2.8339	1	3.0206	1
1975.28		456.0	495.0	1	435.0	466.0	1	446	480	2.823	1	3.1404	1
1991.35		458.0	489.0	1	410.0	457.0	1	434	473	2.8158	1	3.0985	1
2009.69		449.0	489.0	1	411.0	456.0	1	430	472	2.802	1	3.0883	1
2027.024		453.0	479.0	1	416.0	449.0	1	434	464	2.8243	1	3.0479	1
2042.466		449.0	478.0	1	402.0	472.0	1	426	475	2.7559	1	3.071	1
2061.24		457.0	490.0	1	410.0	456.0	1	434	473	2.8004	1	3.0506	1
2076.822		458.0	495.0	1	407.0	469.0	1	432	482	2.7501	1	3.0336	1
2091.999		463.0	481.0	1	410.0	451.0	1	436	466	2.7589	1	3.0417	1
2109.61		471.0	496.0	1	426.0	472.0	1	448	484	2.7373	1	3.0462	1
2126.148		452.0	492.0	1	401.0	456.0	1	426	474	2.7143	1	2.9501	1
2141.397		449.0	496.0	1	410.0	457.0	1	430	476	2.765	1	2.9895	1
2162.813		458.0	490.0	1	424.0	468.0	1	441	479	2.7266	1	2.9539	1
2175.864		485.0	486.0	1	413.0	458.0	1	449	472	2.7452	1	2.9419	1
2193.403		457.0	490.0	1	423.0	464.0	1	440	477	2.6841	1	2.9624	1
2209.37		467.0	488.0	1	420.0	462.0	1	444	475	2.6962	1	2.9838	1
2232.186		468.0	486.0	1	404.0	457.0	1	436	471	2.7092	1	2.8998	1
2243.032		467.0	489.0	1	418.0	450.0	1	442	469	2.7336	1	2.9456	1
