pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.720203974047006 ms
accuracy (in pixels): LX=665.5637911129128, LY=369.9129430773542, RX=654.8301886103377, RY=369.8667165971909
precision (RMS noise in pixels): X=20.051687595775984, Y=68.30067683515553
distance between participant and display: 57.0 cm
fixation threshold: 72.1350984010696 pixels
speed threshold: 1.6827679496329635 pixels/ms
accuracy threshold: 460.9834158742855 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
293.032		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
293.482		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
293.977		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
476.24		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
476.875		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
483.298		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
483.721		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
487.408		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
487.839		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
492.88		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
499.718		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
500.113		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
648.916		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
649.028		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
659.58		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
659.747		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
673.545		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
673.691		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
677.982		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
678.133		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
